id_municipio,nome,sigla_uf,idhm_e,idhm_r,renda_pc,indice_gini,prop_pobreza,taxa_analfabetismo_15_mais,expectativa_anos_estudo,taxa_desocupacao,ideb
2909703,Cristópolis,BA,0.553,0.546,239.23,0.54,46.07,3.02,9.16,7.4,3.7
2909802,Cruz das Almas,BA,0.65,0.659,48.18,0.55,24.93,11.79,8.79,15.84,3.2
2909901,Curaçá,BA,0.463,0.544,236.77,0.51,43.82,24.72,8.47,9.1,3.2
2910008,Dário Meira,BA,0.392,0.522,206.16,0.54,53.41,34.07,7.16,20.25,3.1
2910057,Dias d'Ávila,BA,0.584,0.651,46.06,0.5,20.72,8.21,9.19,19.59,2.9
2910107,Dom Basílio,BA,0.482,0.547,240.83,0.46,40.89,23.72,8.67,4.7,4
2910206,Dom Macedo Costa,BA,0.531,0.598,329.93,0.55,36.54,20.79,9.3,11.26,2.2
2910305,Elísio Medrado,BA,0.527,0.59,315.04,0.5,35.13,25.43,10.7,5.59,3.3
2910404,Encruzilhada,BA,0.4,0.533,2.2,0.49,45.03,32.75,6.72,9.35,2.8
2910503,Entre Rios,BA,0.492,0.602,338.53,0.6,39.75,18.07,7.66,15.93,3
2910602,Esplanada,BA,0.469,0.589,312.58,0.57,39.21,21.61,7.58,12.12,2.8
2910701,Euclides da Cunha,BA,0.43,0.565,269.58,0.55,43.14,27.43,7.69,13.89,2.5
2910727,Eunápolis,BA,0.572,0.687,575.44,0.57,17.93,1.48,8.73,11.27,3.2
2910750,Fátima,BA,0.459,0.554,25.06,0.53,46.32,35.08,8.46,7.34,3.5
2910776,Feira da Mata,BA,0.505,0.527,212.22,0.54,50.82,22.41,9.15,6.58,3.1
2910800,Feira de Santana,BA,0.619,0.71,662.24,0.6,15.8,9.08,9.11,10.88,3
2910859,Filadélfia,BA,0.45,0.553,250.08,0.57,45.48,22.52,8.66,13.68,2.8
2910909,Firmino Alves,BA,0.464,0.596,325.51,0.43,24.91,23.44,7.44,11.1,2.9
2911006,Floresta Azul,BA,0.431,0.548,242.04,0.45,38.11,28.97,7.69,13.02,3.3
2911105,Formosa do Rio Preto,BA,0.536,0.576,287.94,0.6,42.96,22.33,8.48,13.87,3.2
2911204,Gandu,BA,0.508,0.645,442.37,0.59,30.27,22.83,7.72,9.94,3.4
